!Women Art Revolution (2010) |   3 stars, 1hr 22m
#1 Cheerleader Camp (2010) |   3 stars, 1hr 35m
$5 a Day (2008) |   3.4 stars, 1hr 37m
Alicia Keys: Diary of Alicia (2004) |   3.3 stars, 1hr
Alien Abduction (2005) |   2.5 stars, 1hr 36m
Alien Armageddon (2011) |   2.3 stars, 1hr 36m
Alien Opponent (2010) |   2.7 stars, 1hr 31m
Alien Origin (2012) |   2.4 stars, 1hr 28m
Alien Tracker (2003) |   2.9 stars, 1hr 32m
Alien Visitor (1995) |   3.1 stars, 1hr 31m
Alien vs. Hunter (2007) |   2.2 stars, 1hr 24m
Alien vs. Ninja (2010) |   2.6 stars, 1hr 21m
Alila (2004) |   2.5 stars, 1hr 56m
Alive! Is Michael Jackson Really Dead? (2010) |   2.8 stars, 52m
All's Faire in Love (2009) |   3.2 stars, 1hr 47m
All About Airplanes (2008) |   3.3 stars, 25m
All About Big Red Engines (1995) |   3.2 stars, 26m
All About Boats & Ships (1995) |   3.2 stars, 33m
All About Construction (1995) |   3.2 stars, 59m
All About Helicopters (1995) |   3.1 stars, 35m
All About Monster Trucks (1995) |   3.1 stars, 25m
All About Old MacDonald's Farm (1995) |   3.1 stars, 26m
All About Trucks (1995) |   3.2 stars, 31m
All About Us (2007) |   3.1 stars, 1hr 30m
All About You (2001) |   3.5 stars, 1hr 40m
All Dogs Go to Heaven (1989) |   3.7 stars, 1hr 24m
All Dogs Go to Heaven 2 (1996) |   3.5 stars, 1hr 22m
All Good Things (2010) |   3.3 stars, 1hr 40m
All Grown Up! (2003-2007) |   3.7 stars, 5 Seasons
All I Want for Christmas (2007) |   3.7 stars, 1hr 26m
All I Want for Christmas (1991) |   3.8 stars, 1hr 32m
All My Friends Are Funeral Singers (2010) |   3 stars, 1hr 22m
All Night Bodega (2002) |   2.6 stars,
All Night Long (1962) |   2.5 stars, 1hr 31m
All on the Line (2011) |   3.6 stars, 2 Seasons
All Over the Town (1949) |   2.3 stars, 1hr 28m
All She Wants for Christmas (2006) |   3.4 stars, 1hr 34m
All the Days Before Tomorrow (2006) |   2.9 stars, 1hr 40m
All Things Fall Apart (2011) |   4 stars, 1hr 50m
Allan Quatermain and the Temple of Skulls (2008) |   2.6 stars, 1hr 38m
Alleged (2010) |   2.7 stars, 1hr 33m
Alligator Kingdom (2010) |   , 28m
Alligator X (2010) |   3.1 stars, 1hr 32m
Allosaurus: A Walking with Dinosaurs Special (2001) |   3.7 stars, 29m
Allotment Wives (1945) |   3 stars, 1hr 18m
Ally McBeal (1997-2001) |   3.5 stars, 5 Seasons
Almost Blue (1992) |   , 1hr 24m
Almost Elvis (2000) |   3.2 stars, 1hr 6m
Almost Heroes (1998) |   3.5 stars, 1hr 30m
Almost Love (2006) |   3.7 stars, 1hr 55m
Almost Normal (2005) |   3 stars, 1hr 30m
Almost Peaceful (2004) |   3 stars, 1hr 30m
Alpha and Omega (2010) |   3.8 stars, 1hr 27m
Alpha Bots Christmas (2005) |   2.9 stars, 28m
Alphabet City (1984) |   2.7 stars, 1hr 25m
Alphas (2011) |   4.2 stars, 1 Season
Altered (2006) |   3.1 stars, 1hr 27m
Altered Fate (1998) |   2.6 stars, 1hr 33m
Alvin and the Chipmunks Meet the Wolfman (2000) |   3.8 stars, 1hr 16m
Always a Bride (1953) |   3.1 stars, 1hr 24m
Amadeus (1984) |   3.9 stars, 3hr
Amador (2010) |   3.4 stars, 1hr 52m
Amanda (2009) |   3 stars, 1hr 24m
Amazing Grace (1974) |   3.3 stars, 1hr 37m
Amazing Stories (1985-1986) |   3.6 stars, 2 Seasons
Amazonia Vertical (2005) |   3.6 stars, 1hr 2m
Amazons of Rome (1961) |   2.6 stars, 1hr 30m
Ambush at Cimarron Pass (1958) |   3.2 stars, 1hr 12m
Ambush Bay (1966) |   3.3 stars, 1hr 49m
Ambush Murders (1982) |   3.4 stars, 1hr 36m
America's Castles (1994) |   3.7 stars, 4 Episodes
America's Castles: California Dreamers: The Winchester Mystery House & Scotty's Castle (1996) |   3.6 stars, 43m
America's Castles: Hearst Castle: San Simeon (1995) |   3.6 stars, 43m
America's Castles: Newport Mansions (1996) |   3.7 stars, 43m
America's Castles: The Homes of Frank Lloyd Wright (1998) |   3.6 stars, 43m
America's Funniest Home Videos (2008) |   4.1 stars, 1 Season
America's Sweethearts (2001) |   3.1 stars, 1hr 43m
America: Live in Central Park (1979) |   3.4 stars, 54m
America in Primetime (2011) |   3.7 stars, 4 Episodes
America the Beautiful (2007) |   3.7 stars, 1hr 45m
America the Beautiful 2: The Thin Commandments (2011) |   3.4 stars, 1hr 49m
American: The Bill Hicks Story (2010) |   4.1 stars, 1hr 41m
American Animal (2011) |   2.1 stars, 1hr 35m
American Breakdown (2007) |   2 stars, 1hr 25m
American Bullfighter (2004) |   2.7 stars, 1hr 20m
American Chain Gang (1999) |   3.3 stars, 55m
American Chopper (2003-2009) |   3.6 stars, 6 Seasons
American Dad! (2005-2010) |   3.8 stars, 6 Seasons
American Drug War: The Last White Hope (2007) |   3.9 stars, 1hr 58m
American Experience: Civilian Conservation Corps (2009) |   4 stars, 52m
American Experience: Dinosaur Wars (2011) |   3.7 stars, 52m
American Experience: Dolley Madison (2010) |   3.9 stars, 1hr 24m
American Experience: Earth Days (2009) |   3.5 stars, 1hr 41m
American Experience: FDR (1994) |   4.1 stars, 2 Episodes
American Experience: Into the Deep: America, Whaling & the World (2010) |   3.9 stars, 1hr 53m
American Experience: Jimmy Carter (2002) |   3.6 stars, 2 Episodes
American Experience: LBJ (1991) |   3.9 stars, 2 Episodes
American Experience: My Lai (2010) |   3.9 stars, 1hr 23m
American Experience: Nixon (1990) |   3.9 stars, 2 Episodes
American Experience: Panama Canal (2010) |   3.9 stars, 1hr 22m
American Experience: Reagan (1998) |   4 stars, 2 Episodes
American Experience: Robert E. Lee (2011) |   3.8 stars, 1hr 24m
American Experience: The Crash of 1929 (2009) |   3.7 stars, 54m
American Experience: The Great Famine (2011) |   3.8 stars, 53m
American Experience: The Greely Expedition (2011) |   3.7 stars, 53m
American Experience: Triangle Fire (2011) |   3.9 stars, 53m
American Experience: Truman (1997) |   4 stars, 2 Episodes
American Experience: We Shall Remain (2009) |   4 stars, 5 Episodes
American Flyer (2010) |   3 stars, 1hr 30m
American Friends (1991) |   3.2 stars, 1hr 35m
American Gangster (2006-2008) |   4 stars, 3 Seasons
American Grindhouse (2010) |   3.5 stars, 1hr 21m
American Gun (2002) |   2.9 stars, 1hr 29m
American Harmony (2009) |   3.5 stars, 1hr 26m
American Heart (1992) |   3.4 stars, 1hr 54m
American Jihadist (2010) |   3.3 stars, 1hr 1m
American Loggers (2009-2011) |   3.7 stars, 3 Seasons
American Meth (2008) |   3.1 stars, 1hr 15m
American Mullet (2001) |   2.9 stars, 52m
American Muscle Car (1998-2006) |   3.6 stars, 3 Seasons
American Mystic (2010) |   3.1 stars, 1hr 20m
American Ninja 4: The Annihilation (1991) |   3.2 stars, 1hr 39m
American Pie Presents: Band Camp (2005) |   3.3 stars, 1hr 31m
American Pimp (2000) |   3.5 stars, 1hr 27m
American Raspberry (1977) |   2.7 stars, 1hr 10m
American Roulette (1988) |   2.6 stars, 1hr 37m
American Scary (2006) |   3.4 stars, 1hr 31m
American Shopper (2007) |   , 1hr 27m
American Standards (2008) |   2.4 stars, 1hr 34m
American Streetballers (2010) |   3.7 stars, 1hr 58m
American Teacher (2011) |   3.8 stars, 1hr 19m
American Violet (2008) |   3.9 stars, 1hr 42m
American Wake (2004) |   3 stars, 1hr 35m
American Warships (2012) |   3.1 stars, 1hr 29m
American Wonders: National Parks of the West (1995) |   3.3 stars, 38m
American Zombie (2007) |   2.6 stars, 1hr 35m
Amexicano (2007) |   3.5 stars, 1hr 24m
Amigo (2010) |   3.2 stars, 2hr 4m
Amityville II: The Possession (1982) |   3.2 stars, 1hr 44m
Amok Train (1989) |   2.7 stars, 1hr 34m
Among Dead Men (2008) |   2.8 stars, 1hr 34m
Among the Righteous: Lost Stories from the Holocaust in Arab Lands (2010) |   3.6 stars, 55m
Amores Perros (2000) |   3.9 stars, 2hr 34m
Amorous Adventures of Moll Flanders (1965) |   2.8 stars, 2hr 4m
Amreeka (2009) |   3.5 stars, 1hr 36m
An American Carol (2008) |   2.9 stars, 1hr 22m
An American in China (2008) |   3.1 stars, 1hr 29m
An American Werewolf in London (1981) |   3.6 stars, 1hr 37m
An Angel Named Billy (2007) |   2.9 stars, 1hr 58m
An Empty Bed (1990) |   2.5 stars, 56m
An Englishman in New York (2009) |   3.5 stars, 1hr 14m
An Ideal Husband (1999) |   3.5 stars, 1hr 37m
An Inconvenient Tax (2011) |   3.5 stars, 1hr 18m
An Infinite Tenderness (1970) |   2.3 stars, 1hr 32m
Analyze This (1999) |   3.5 stars, 1hr 43m
Anastasia (1956) |   3.6 stars, 1hr 45m
Anatomy of a Seduction (1978) |   2.8 stars, 1hr 36m
Anatomy of Hell (2004) |   2.5 stars, 1hr 13m
Ancient Astronauts: The Gods from Planet X (2011) |   3.1 stars, 3hr 11m
Ancient Code: The Movie (2009) |   2.7 stars, 1hr 1m
Ancient Mysteries: Astrology: Secrets in the Stars (1996) |   3.6 stars, 47m
Ancient Mysteries: Bigfoot (2005) |   3.6 stars, 43m
Ancient Mysteries: Dragons: Myths & Legends (2005) |   3.5 stars, 43m
Ancient Mysteries: Forbidden City: Dynasty and Destiny (1996) |   3.6 stars, 43m
Ancient Mysteries: Human Sacrifice (2006) |   3.4 stars, 44m
Ancient Mysteries: Lost Castles of England (1995) |   3.5 stars, 44m
Ancient Mysteries: The Hidden City of Petra (2005) |   3.6 stars, 46m
Ancient Mysteries: The Miraculous Canals of Venice (2005) |   3.7 stars, 46m
Ancient Mysteries: The Quest for the Fountain of Youth (1995) |   3.4 stars, 43m
Ancient Mysteries: The Sacred Waters of Lourdes (2005) |   3.6 stars, 44m
Ancient Mysteries: UFOs: The First Encounters (2005) |   3.6 stars, 47m
Ancient Mysteries: Witches (2006) |   3.5 stars, 43m
And Everything Is Going Fine (2010) |   3.5 stars, 1hr 29m
And Soon the Darkness (1970) |   2.9 stars, 1hr 35m
And the Winner Is... (2009) |   , 1hr 34m
And Then Came Lola (2009) |   2.4 stars, 1hr 10m
And You Thought Your Parents Were Weird (1991) |   3.4 stars, 1hr 32m
And Your Name Is Jonah (1979) |   3.8 stars, 1hr 34m
Android (1982) |   2.8 stars, 1hr 20m
Angel (1999-2003) |   4 stars, 5 Seasons
Angel (2007) |   2.9 stars, 1hr 58m
Angel 4: Undercover (1993) |   2.6 stars, 1hr 34m
Angel and the Badman (1947) |   3.7 stars, 1hr 39m
Angel Beats (2010) |   4.3 stars, 1 Season
Angel Dog (2011) |   3.8 stars, 1hr 25m
Angel Eyes (2001) |   3.3 stars, 1hr 43m
Angel of Evil (2010) |   3.3 stars, 2hr 8m
Angel Unchained (1970) |   3 stars, 1hr 26m
Angelina Ballerina: Ballerina Princess (2011) |   3.4 stars, 1hr 1m
Angelina Ballerina: Ballet Dreams (2011) |   3.4 stars, 1hr 1m
Angelina Ballerina: Dance of Friendship (2004) |   3.3 stars, 26m
Angelina Ballerina: Dancing on Ice (2011) |   3.5 stars, 1hr 1m
Angelina Ballerina: Follows Her Dreams (2005) |   3.3 stars, 51m
Angelina Ballerina: Friends Forever (2002) |   3.1 stars, 51m
Angelina Ballerina: In the Wings (2004) |   3.1 stars, 45m
Angelina Ballerina: Lights, Camera, Action! (2002) |   3.1 stars, 50m
Angelina Ballerina: Love to Dance (2010) |   3.3 stars, 1hr 1m
Angelina Ballerina: Musical Moves (2012) |   3.2 stars, 1hr 1m
Angelina Ballerina: Pop Star Girls (2011) |   3.4 stars, 1hr 1m
Angelina Ballerina: Rose Fairy Princess (2002) |   3.2 stars, 45m
Angelina Ballerina: Sweet Valentine (2012) |   3.5 stars, 1hr 1m
Angelina Ballerina: The Lucky Penny (2002) |   3.1 stars, 51m
Angelina Ballerina: The Magic of Dance (2004) |   3.2 stars, 51m
Angelina Ballerina: The Nutcracker Sweet (2010) |   3.4 stars, 1hr 1m
Angelina Ballerina: The Shining Star Trophy (2011) |   3.3 stars, 55m
Angelina Ballerina: The Show Must Go On: Christmas in Mouseland (2002) |   3.2 stars, 49m
Angelina Ballerina: The Silver Locket (2002) |   3.4 stars, 48m
Angelo Rules (2009) |   3.6 stars, 1 Season
Angels Crest (2011) |   3.5 stars, 1hr 33m
Angels from Hell (1968) |   2.9 stars, 1hr 26m
Angels in the Dust (2007) |   3.8 stars, 1hr 34m
Anger Management (2003) |   3.4 stars, 1hr 45m
Angry Beavers (1997-1999) |   4 stars, 3 Seasons
Angst (2003) |   2.7 stars, 1hr 42m
Animal Atlas: Animal Mysteries (2009) |   3.7 stars, 1hr 7m
Animal Face-off (2004) |   3.4 stars, 1 Season
Animal Factory (2000) |   3.3 stars, 1hr 34m
Animal Farm (1999) |   3.2 stars, 1hr 31m
Animal Planet: Safari (2005) |   3.6 stars, 5 Episodes
Animal Room (1995) |   2.7 stars, 1hr 34m
Animals (2008) |   3 stars, 1hr 33m
Animals United (2010) |   3.3 stars, 1hr 33m
Anjelah Johnson: That's How We Do It (2009) |   3.9 stars, 59m
Anna (1987) |   2.8 stars, 1hr 40m
Anna and the King (1999) |   3.8 stars, 2hr 28m
Anna in Kung Fu Land (2003) |   3 stars, 1hr 36m
Anna Karenina (2000) (2000) |   3.5 stars, 2 Episodes
Anna Lucasta (1958) |   3.6 stars, 1hr 36m
Anna Nicole Smith (2007) |   3.4 stars, 45m
Anneliese: The Exorcist Tapes (2011) |   2.7 stars, 1hr 30m
Another Country (1984) |   3.3 stars, 1hr 30m
Another Day (2001) |   3.3 stars, 1hr 32m
Another Gay Movie (2006) |   2.8 stars, 1hr 33m
Another Happy Day (2011) |   3.1 stars, 1hr 58m
Another Woman (1988) |   3.4 stars, 1hr 21m
Anotherworld (2008) |   2.5 stars, 1hr 53m
Answer This! (2010) |   3.1 stars, 1hr 44m
Antarctic Journal (2005) |   2.9 stars, 1hr 59m
Antares (2004) |   3.2 stars, 1hr 54m
Anthony Bourdain: No Reservations (2005-2008) |   4 stars, 4 Collections
Antibodies (2005) |   3.6 stars, 2hr 7m
Antichrist (2009) |   2.9 stars, 1hr 48m
Anton Chekhov's The Duel (2009) |   2.9 stars, 1hr 34m
Antonia (2006) |   3.1 stars, 1hr 29m
Anuvahood (2011) |   3.5 stars, 1hr 28m
Anvil! The Story of Anvil (2008) |   3.5 stars, 1hr 20m
Anyone Can Play (1968) |   2.2 stars, 1hr 28m
Anytown, USA (2005) |   3.3 stars, 1hr 33m
Anywhere, USA (2008) |   2.9 stars, 1hr 48m
Apache Uprising (1965) |   3.5 stars, 1hr 29m
Apart (2011) |   2.8 stars, 1hr 26m
Apartment 12 (2001) |   2.6 stars, 1hr 30m
Apartment 143 (2011) |   3.1 stars, 1hr 20m
Ape to Man (2005) |   3.8 stars, 1hr 31m
Apnea (2010) |   2.1 stars, 1hr 27m
Apocalypse 2012: The World After Time Ends (2011) |   2.8 stars, 2hr 1m
Apocalypse How (2008) |   3.6 stars, 1hr 27m
Apocalypse Now (1979) |   4 stars, 2hr 27m
Apocalypse Now Redux (2001) |   4.2 stars, 3hr 15m
Apostle Peter and The Last Supper (2012) |   4.1 stars, 1hr 32m
Apparitions (2008) |   3.8 stars, 6 Episodes
Appointment with Crime (1946) |   2.8 stars, 1hr 27m
Appointment with Danger (1951) |   3.3 stars, 1hr 30m
April Fools (2007) |   2.7 stars, 1hr 12m
April Morning (1988) |   3.4 stars, 1hr 39m
April Showers (2009) |   3.7 stars, 1hr 43m
Aquarion (2005) |   3.7 stars, 1 Season
Arabia: IMAX (2010) |   3.4 stars, 46m
Arabian Nights (2000) |   3.9 stars, 2 Episodes
Arabian Nights (1974) |   2.8 stars, 2hr 10m
Arahan (2004) |   3.7 stars, 1hr 53m
Arc (2006) |   3.1 stars, 1hr 52m
Arch of Triumph (1948) |   3.2 stars, 2hr 12m
Archangel (2005) |   3.6 stars, 3 Episodes
Archer (2009-2011) |   4.3 stars, 2 Seasons
Archie's Final Project (2009) |   3.4 stars, 1hr 50m
Arctic Blast (2010) |   3.3 stars, 1hr 31m
Arctic Extreme: 118 Days in Captivity of Ice (1998) |   3.3 stars, 57m
Are You in the House Alone? (1978) |   3 stars, 1hr 36m
Are You Scared (2006) |   2.9 stars, 1hr 19m
Area 407 (2012) |   2.5 stars, 1hr 29m
Arguing the World (1998) |   3.1 stars, 1hr 49m
Arizona Bushwackers (1968) |   3.4 stars, 1hr 26m
Arizona Whirlwind (1944) |   3 stars, 59m
Arj Barker: LYAO (2010) |   3.3 stars, 1hr 5m
Arjun: The Warrior Prince (2012) |   3.5 stars, 1hr 34m
Arkansas Judge (1941) |   3 stars, 1hr 11m
Armadillo (2010) |   3.8 stars, 1hr 41m
Armed and Deadly (2011) |   2.8 stars, 1hr 36m
Armless (2010) |   2.3 stars, 1hr 27m
Army Girl (1938) |   2.2 stars, 1hr 20m
Army of Crime (2009) |   3.6 stars, 2hr 13m
Army Wives (2007-2011) |   4.2 stars, 5 Seasons
Arn: The Knight Templar (2007) |   3.9 stars, 2hr 13m
Arranged (2007) |   4 stars, 1hr 32m
Arrested Development (2003-2005) |   3.9 stars, 3 Seasons
Arsenic and Old Lace (1944) |   3.9 stars, 1hr 58m
Art & Music (2009) |   3.4 stars, 26 Episodes
Art 21: Art in the Twenty-First Century (2001-2009) |   3.6 stars, 5 Seasons
Art Is...The Permanent Revolution (2012) |   , 1hr 20m
Art School Confidential (2006) |   3 stars, 1hr 42m
Arthur (2002-2010) |   3.7 stars, 8 Seasons
Arthur (1981) |   3.5 stars, 1hr 37m
Article 99 (1992) |   3.6 stars, 1hr 40m
Artists and Models (1955) |   , 1hr 49m
As It Is in Heaven (2005) |   4 stars, 2hr 6m
As Tears Go By (1988) |   3.1 stars, 1hr 39m
As You Like It (1992) |   2.2 stars, 1hr 52m
As Young As We Are (1958) |   3.1 stars, 1hr 15m
Ashtanga, NY (2003) |   3.6 stars, 40m
Ashura (2005) |   3.2 stars, 1hr 58m
Asia: Fantasia: Live in Tokyo (2007) |   3 stars, 1hr 54m
Assassination Games (2011) |   3.7 stars, 1hr 40m
Assassination of a High School President (2008) |   3.2 stars, 1hr 33m
Assassins' Code (2011) |   3 stars, 1hr 41m
Assault Girls (2009) |   2.4 stars, 1hr 10m
Assault of the Party Nerds (1989) |   2.3 stars,
Assault of the Sasquatch (2009) |   2.5 stars, 1hr 24m
Assault on Precinct 13 (1976) |   3.3 stars, 1hr 30m
Assignment Berlin (1982) |   2.7 stars, 1hr 39m
Astonishing X-Men (2009) |   3.4 stars, 6 Episodes
Astr�p�a (2008) |   3 stars, 1hr 34m
Astro Boy (2003) (2003) |   3.6 stars, 50 Episodes
Asylum (1997) |   3 stars, 1hr 30m
At Close Range (2006) |   3.8 stars, 56m
At First Site (1995) |   2.1 stars, 1hr 30m
At Home with the Webbers (1993) |   2.2 stars, 1hr 49m
At the Earth's Core (1976) |   3 stars, 1hr 30m
At the Edge of the World (2008) |   3.7 stars, 1hr 29m
At the Sinatra Club (2010) |   3.3 stars, 1hr 25m
Atlantic City (1944) |   2.7 stars, 1hr 27m
Atlas Shrugged: Part 1 (2011) |   3.6 stars, 1hr 36m
ATM (2012) |   2.9 stars, 1hr 30m
Atrocious (2010) |   3 stars, 1hr 13m
Attack! (1956) |   3.4 stars, 1hr 47m
Attack of the Puppet People (1958) |   3 stars, 1hr 19m
Attack on Darfur (2009) |   3.2 stars, 1hr 38m
Attack on Leningrad (2009) |   2.7 stars, 1hr 50m
Attack on the Iron Coast (1968) |   3.3 stars, 1hr 27m
Attack the Gas Station 2 (2010) |   3.4 stars, 1hr 51m
Attenberg (2010) |   2.7 stars, 1hr 37m
Attraction (2000) |   2.8 stars, 1hr 35m
Au Pair 3: Adventures in Paradise (2009) |   3.6 stars, 1hr 29m
Auction Kings (2010) |   3.9 stars, 1 Season
Audie Murphy: Great American Hero (1996) |   3.9 stars, 45m
Audition (1999) |   3.4 stars, 1hr 55m
Audrey Rose (1977) |   3.1 stars, 1hr 53m
August the First (2007) |   2.5 stars, 1hr 21m
Auntie Mame (1958) |   3.9 stars, 2hr 23m
Aurora (2010) |   2.2 stars, 3hr 3m
Auschwitz: Inside the Nazi State (2005) |   4 stars, 6 Episodes
Automatic (2005) |   2.5 stars, 1hr 17m
Autumn (2009) |   2.5 stars, 1hr 50m
Autumn In My Heart (2000) |   4 stars, 16 Episodes
Avalanche (1969) |   2.8 stars, 1hr 15m
Avalon (2001) |   3.1 stars, 1hr 46m
Avalon High (2010) |   3.7 stars, 1hr 29m
Avatar: The Last Airbender (2005-2007) |   4.3 stars, 3 Seasons
Awaken the Dead (2007) |   2.3 stars, 1hr 41m
AWE Wrestling: Night of Legends (2011) |   2.8 stars, 2hr 29m
Ayn Rand & the Prophecy of Atlas Shrugged (2012) |   3.7 stars, 1hr 23m
Ayurveda: The Art of Being (2001) |   3.6 stars, 1hr 45m
Azorian: The Raising of the K-129 (2010) |   3.9 stars, 1hr 42m
B�la Fleck: Throw Down Your Heart (2008) |   4 stars, 1hr 37m
B Monkey (1999) |   3 stars, 1hr 31m
B.U.S.T.E.D. (1999) |   2.9 stars, 1hr 41m
Baabul (2006) |   3.7 stars, 2hr 42m
Baar�a (2009) |   3.3 stars, 2hr 30m
Babar (1988-2000) |   3.6 stars, 6 Seasons
Babar, King of the Elephants (1999) |   3.2 stars, 1hr 19m
Babar: The Movie (1989) |   3.3 stars, 1hr 15m
Babel (2006) |   3.3 stars, 2hr 23m
Babes in Toyland (1997) |   3.2 stars, 1hr 14m
Baby Boy (2001) |   3.8 stars, 2hr 9m
Baby Daddy (2012) |   3.9 stars, 1 Season
Baby Geniuses (1999) |   3.3 stars, 1hr 34m
Baby Miracle: Jonah and the Whale (2005) |   3 stars, 34m
Baby Shower (2011) |   2.6 stars, 1hr 31m
Babysitters Beware (2009) |   3.4 stars, 1hr 11m
Baccano! (2007) |   3.9 stars, 16 Episodes
Bachelor Party in the Bungalow of the Damned (2008) |   1.9 stars, 1hr 15m
BachelorMan (2003) |   2.9 stars, 1hr 31m
Bachna Ae Haseeno (2008) |   3.5 stars, 2hr 32m
Back at the Barnyard (2007-2009) |   3.7 stars, 2 Seasons
Back Door Channels: The Price of Peace (2009) |   , 1hr 38m
Back of Beyond (1995) |   2.7 stars, 1hr 25m
Back to School (1986) |   3.6 stars, 1hr 36m
Back to the Secret Garden (2002) |   3.5 stars, 1hr 40m
Backflash (2002) |   3.1 stars, 1hr 30m
Backstage (2000) |   3.6 stars, 1hr 26m
Backstreet Dreams (1990) |   2.1 stars, 1hr 40m
Bad Ass (2009) |   2.9 stars, 1hr 16m
Bad Ass (2012) |   3.7 stars, 1hr 30m
Bad Batch (2010) |   2.6 stars, 1hr 9m
Bad Blood: A Cautionary Tale (2010) |   3.8 stars, 1hr 21m
Bad Boys (1983) |   3.7 stars, 2hr 3m
Bad Day to Go Fishing (2009) |   3.2 stars, 1hr 46m
Bad Girls from Mars (1991) |   2.2 stars, 1hr 21m
Bad Guy (2010) |   3.7 stars, 17 Episodes
Bad Influence (1990) |   3.2 stars, 1hr 39m
Bad Lieutenant (1992) |   3.2 stars, 1hr 36m
Bad News Bears (2005) |   3.4 stars, 1hr 53m
Bad Timing (1980) |   3 stars, 2hr 2m
Badlanders (1992) |   2.3 stars, 1hr 28m
Badlands of Montana (1957) |   2.9 stars, 1hr 15m
Badmaash Company (2010) |   3.4 stars, 2hr 21m
Bag It (2010) |   4 stars, 1hr 18m
Bagdad Cafe (1988) |   3.5 stars, 1hr 31m
Bajo la Sal (2008) |   3.6 stars, 2hr 6m
Baka and Test (2010) |   4.1 stars, 1 Season
Baker Boys: Inside the Surge (2010) |   4 stars, 4 Episodes
Balance of Power (1996) |   3.3 stars, 1hr 32m
Baldr Force EXE (2006) |   3.6 stars, 4 Episodes
Ballad in Blue (1964) |   3.1 stars, 1hr 24m
Ballerina (2009) |   3.9 stars, 1hr 16m
Ballets Russes (2005) |   3.8 stars, 1hr 58m
Ballistic: Ecks vs. Sever (2002) |   2.9 stars, 1hr 31m
Ballistica (2009) |   3.1 stars, 1hr 30m
Ballplayer: Pelotero (2011) |   , 1hr 17m
Balzac and the Little Chinese Seamstress (2002) |   3.7 stars, 1hr 46m
Bamako (2006) |   3 stars, 1hr 52m
Bamboo Gods and Iron Men (1974) |   2.8 stars, 1hr 35m
Bananas!* (2009) |   3.4 stars, 1hr 27m
Bananas in Pyjamas (2011) |   3.4 stars, 104 Episodes
Band Baaja Baaraat (2010) |   3.9 stars, 2hr 19m
Bandit King of Texas (1949) |   3.3 stars, 1hr
Bandits in Milan (1968) |   1.9 stars, 1hr 37m
Bands on the Run (2011) |   2.8 stars, 43m
Bandwagon (1996) |   3 stars, 1hr 39m
Bane (2008) |   2.4 stars, 1hr 48m
Bangkok Dangerous (2000) |   3.1 stars, 1hr 45m
Bank Shot (1974) |   2.9 stars, 1hr 23m
Banksy's Coming for Dinner (2009) |   2.5 stars, 1hr 11m
Bar Girls (1994) |   2.6 stars, 1hr 35m
Bar Starz (2008) |   2.7 stars, 1hr 44m
Baran (2001) |   3.4 stars, 1hr 35m
Barb Wire (1996) |   2.6 stars, 1hr 38m
Barbarella (1968) |   3 stars, 1hr 38m
Bare Knuckles (1977) |   2.3 stars, 1hr 34m
Barely Legal (2011) |   2.7 stars, 1hr 29m
Barking Dogs Never Bite (2000) |   3.1 stars, 1hr 50m
Barney's Best Manners (2003) |   2.7 stars, 50m
Barney's Dino Dancin' Tunes (2004) |   2.6 stars, 33m
